time,source,destination,protocol,length,caplen,hlen,version 
1473405122847,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405122848,137,137,Udp,92,92,8,0
1473405122848,49773,5355,Udp,75,75,8,0
1473405122848,59913,5355,Udp,75,75,8,0
1473405122859,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405122872,63621,1900,Udp,175,175,8,0
1473405122897,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405122942,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405122984,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123037,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123057,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405123061,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405123062,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123062,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123074,137,137,Udp,92,92,8,0
1473405123092,58241,1900,Udp,140,140,8,0
1473405123147,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123185,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123187,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123200,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123217,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123237,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123267,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123268,59913,5355,Udp,75,75,8,0
1473405123269,49773,5355,Udp,75,75,8,0
1473405123287,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123417,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123440,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123444,54029,1900,Udp,216,216,8,0
1473405123457,137,137,Udp,92,92,8,0
1473405123467,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123496,137,137,Udp,92,92,8,0
1473405123517,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123522,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123558,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405123560,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123572,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123597,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123597,137,137,Udp,92,92,8,0
1473405123614,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123643,59061,1900,Udp,216,216,8,0
1473405123646,0.0.0.0,0.0.0.0,Icmp,98,98,8,0
1473405123646,0.0.0.0,0.0.0.0,Icmp,98,98,8,0
1473405123684,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123692,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123708,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123780,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123821,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123839,137,137,Udp,92,92,8,0
1473405123859,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123859,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123871,0.0.0.0,0.0.0.0,Icmp,98,98,8,0
1473405123894,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405123897,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124057,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124060,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405124060,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405124061,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405124096,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124147,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124167,52542,1900,Udp,216,216,8,0
1473405124177,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124188,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124217,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124233,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124261,137,137,Udp,92,92,8,0
1473405124267,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124275,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124277,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124343,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124348,137,137,Udp,92,92,8,0
1473405124417,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124426,137,137,Udp,92,92,8,0
1473405124426,54245,5355,Udp,75,75,8,0
1473405124426,56694,5355,Udp,75,75,8,0
1473405124445,54029,1900,Udp,216,216,8,0
1473405124549,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124557,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124563,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405124567,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124589,137,137,Udp,92,92,8,0
1473405124628,138,138,Udp,291,291,8,0
1473405124644,59061,1900,Udp,216,216,8,0
1473405124692,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124694,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124729,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124777,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124820,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124846,54245,5355,Udp,75,75,8,0
1473405124847,56694,5355,Udp,75,75,8,0
1473405124857,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124859,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124863,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124890,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405124952,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125057,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125058,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405125059,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405125087,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125164,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125166,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125166,52542,1900,Udp,216,216,8,0
1473405125168,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125177,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125191,137,137,Udp,92,92,8,0
1473405125227,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125301,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125354,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125440,0.0.0.0,0.0.0.0,Arp,60,60,6,0
