time,source,destination,protocol,length,caplen,hlen,version,output 
1474222952097,"0.0.0.0","0.0.0.0",Arp,42,42,6,0,0
1474222952102,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1474222952508,"60277","53",Udp,75,75,8,0,0
1474222952508,"54891","53",Udp,79,79,8,0,0
1474222952508,"50634","53",Udp,73,73,8,0,0
1474222952508,"56332","53",Udp,80,80,8,0,0
1474222952509,"59386","53",Udp,72,72,8,0,0
1474222952510,"54645","53",Udp,75,75,8,0,0
1474222952527,"53","60277",Udp,472,472,8,0,0
1474222952527,"53","54891",Udp,479,479,8,0,0
1474222952528,"54153","53",Udp,74,74,8,0,0
1474222952528,"51327","53",Udp,75,75,8,0,0
1474222952530,"53","50634",Udp,235,235,8,0,0
1474222952531,"54645","53",Udp,75,75,8,0,0
1474222952531,"59386","53",Udp,72,72,8,0,0
1474222952531,"56332","53",Udp,80,80,8,0,0
1474222952531,"51502","53",Udp,85,85,8,0,0
1474222952533,"53","56332",Udp,268,268,8,0,0
1474222952535,"50414","53",Udp,75,75,8,0,0
1474222952535,"53","59386",Udp,477,477,8,0,0
1474222952537,"53","54645",Udp,451,451,8,0,0
1474222952541,"51503","443",Udp,1392,1392,8,0,0
1474222952543,"192.168.1.1","224.0.0.1",IP,60,60,5,4,0
1474222952547,"51327","53",Udp,75,75,8,0,0
1474222952547,"54153","53",Udp,74,74,8,0,0
1474222952549,"50415","443",Udp,1392,1392,8,0,0
1474222952551,"54154","443",Udp,1392,1392,8,0,0
1474222952564,"51502","53",Udp,85,85,8,0,0
1474222952566,"50414","53",Udp,75,75,8,0,0
1474222952593,"53","51327",Udp,458,458,8,0,0
1474222952600,"53","54153",Udp,226,226,8,0,0
1474222952611,"53","50414",Udp,458,458,8,0,0
1474222952611,"53","51502",Udp,273,273,8,0,0
1474222952620,"50416","443",Udp,1392,1392,8,0,0
1474222952630,"50417","443",Udp,1392,1392,8,0,0
1474222952646,"443","50415",Udp,1392,1392,8,0,0
1474222952646,"443","50415",Udp,1392,1392,8,0,0
1474222952655,"50415","443",Udp,1392,1392,8,0,0
1474222952669,"443","50415",Udp,77,77,8,0,0
1474222952681,"50415","443",Udp,80,80,8,0,0
1474222952702,"443","50416",Udp,1392,1392,8,0,0
1474222952726,"443","50416",Udp,77,77,8,0,0
1474222952729,"50416","443",Udp,80,80,8,0,0
1474222952748,"443","50415",Udp,1392,1392,8,0,0
1474222952771,"443","50415",Udp,80,80,8,0,0
1474222952775,"50415","443",Udp,80,80,8,0,0
1474222952827,"443","51503",Udp,1392,1392,8,0,0
1474222952847,"443","51503",Udp,69,69,8,0,0
1474222952856,"51503","443",Udp,80,80,8,0,0
1474222952867,"443","54154",Udp,1392,1392,8,0,0
