0:037366 0:039154 0:022045 0:015736 0:11 0:960212 0:025534 0:965266 0:029157 0:951279 0
0 0:015571 0:010783 0:134166 0:967969 0:987025 0:006572 1 0:000225 0:997934 1
0:00716 0:015305 0:001749 0:048222 0:97321 0:98354 0:000745 0:996791 0:000021 0:98985 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:000493 0:015704 0:011094 0:140853 0:969556 0:987956 0:006658 0:999637 0:000304 0:999869 1
0:000272 0:015647 0:011191 0:138673 0:96902 0:987527 0:006692 0:999788 0:000276 0:999153 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:008231 0:015228 0:000187 0:039606 0:974154 0:983829 0 0:996177 0:000092 0:989356 1
0:000494 0:015705 0:011191 0:141198 0:969631 0:987952 0:006688 0:999632 0:000307 0:999935 1
0:053868 0:056856 0:041913 0:039904 0:930011 0:942193 0:044284 0:947835 0:046805 0:934439 0
0:006413 0:015272 0:002762 0:053324 0:97249 0:983379 0:001283 0:997156 0:000013 0:989902 1
0:007427 0:015316 0:00139 0:046412 0:973463 0:98359 0:000556 0:996663 0:000026 0:989832 1
0:036708 0:0407 0:026592 0:025093 0:94548 0:958093 0:028492 0:964116 0:030372 0:95031 0
0:204099 0:210894 0:202394 0:217656 0:777955 0:787541 0:201608 0:795411 0:200626 0:786377 0
0:000206 0:015627 0:010911 0:136959 0:968632 0:987416 0:006607 0:999848 0:000258 0:998743 1
0:007164 0:015287 0:001683 0:047796 0:973249 0:983576 0:000701 0:996764 0:000047 0:98986 1
0:006901 0:015293 0:002103 0:050021 0:972957 0:98348 0:000934 0:99692 0:000019 0:989868 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:006991 0:015279 0:001918 0:048998 0:973081 0:983537 0:000827 0:996849 0:000045 0:989871 1
0:000495 0:015706 0:011289 0:141546 0:969705 0:987948 0:006718 0:999626 0:00031 1 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:007185 0:015317 0:001717 0:047734 0:973299 0:983533 0:000722 0:996742 0:000009 0:989868 1
0:007562 0:015305 0:001146 0:045085 0:973629 0:983654 0:000418 0:996572 0:000054 0:989833 1
0:999429 1 1 1 0 0 1 0:000295 0:999781 0:000934 0
0:006856 0:015291 0:002163 0:050322 0:972915 0:983472 0:000966 0:996941 0:000018 0:989871 1
0:000132 0:01561 0:011245 0:137246 0:96867 0:987249 0:006711 0:999885 0:000258 0:998688 1
0:006324 0:015269 0:002882 0:053924 0:972405 0:983361 0:001346 0:997199 0:000012 0:989909 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:008027 0:01524 0:000451 0:040521 0:974085 0:983752 0:00013 0:996195 0:000069 0:989399 1
0:000239 0:015637 0:011051 0:137817 0:968826 0:987471 0:006649 0:999818 0:000267 0:998948 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:039039 0:042212 0:027546 0:026934 0:944528 0:956769 0:029654 0:962586 0:032024 0:949115 0
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:038632 0:040577 0:024414 0:020325 0:946391 0:958681 0:027375 0:963847 0:030686 0:95008 0
0:000453 0:015686 0:010269 0:137574 0:96884 0:98793 0:006406 0:999705 0:000272 0:999208 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:207624 0:210494 0:197428 0:201974 0:779183 0:788809 0:199275 0:794598 0:201242 0:784733 0
0:000742 0:015753 0:009252 0:137391 0:968892 0:988551 0:006088 0:999551 0:000281 0:999588 1

'0 128:51 129:159 130:253 131:159 132:50 155:48 156:238 157:252 158:252 159:252 160:237 182:54 183:227 184:253 185:252 186:239 187:233 188:252 189:57 190:6 208:10 209:60 210:224 211:252 212:253 213:252 214:202 215:84 216:252 217:253 218:122 236:163 237:252 238:252 239:252 240:253 241:252 242:252 243:96 244:189 245:253 246:167 263:51 264:238 265:253 266:253 267:190 268:114 269:253 270:228 271:47 272:79 273:255 274:168 290:48 291:238 292:252 293:252 294:179 295:12 296:75 297:121 298:21 301:253 302:243 303:50 317:38 318:165 319:253 320:233 321:208 322:84 329:253 330:252 331:165 344:7 345:178 346:252 347:240 348:71 349:19 350:28 357:253 358:252 359:195 372:57 373:252 374:252 375:63 385:253 386:252 387:195 400:198 401:253 402:190 413:255 414:253 415:196 427:76 428:246 429:252 430:112 441:253 442:252 443:148 455:85 456:252 457:230 458:25 467:7 468:135 469:253 470:186 471:12 483:85 484:252 485:223 494:7 495:131 496:252 497:225 498:71 511:85 512:252 513:145 521:48 522:165 523:252 524:173 539:86 540:253 541:225 548:114 549:238 550:253 551:162 567:85 568:252 569:249 570:146 571:48 572:29 573:85 574:178 575:225 576:253 577:223 578:167 579:56 595:85 596:252 597:252 598:252 599:229 600:215 601:252 602:252 603:252 604:196 605:130 623:28 624:199 625:252 626:252 627:253 628:252 629:252 630:233 631:145 652:25 653:128 654:252 655:253 656:252 657:141 658:37'
