0:037366 0:039154 0:022045 0:015736 0:11 0:960212 0:025534 0:965266 0:029157 0:951279 0
0:055011 0:056798 0:04011 0:034671 0:930322 0:942565 0:043444 0:947621 0:046948 0:934018 0
0:02098 0:022865 0:005839 0 0:963726 0:976433 0:009193 0:981603 0:012752 0:967392 0
0:038461 0:040308 0:023676 0:018345 0:946575 0:958998 0:026908 0:964099 0:030381 0:950207 0
0:039604 0:04155 0:025125 0:020854 0:945421 0:957736 0:028211 0:962954 0:031578 0:949229 0
0:040148 0:042154 0:025906 0:022305 0:944871 0:957115 0:028879 0:962393 0:032171 0:94876 0
0:038632 0:040577 0:024414 0:020325 0:946391 0:958681 0:027375 0:963847 0:030686 0:95008 0
0:129568 0:132318 0:118107 0:125073 0:856744 0:866979 0:119967 0:873284 0:122259 0:862715 0
0:011748 0:015703 0 0:006065 0:971192 0:983302 0:002021 0:990612 0:004156 0:978083 0
0:207624 0:210494 0:197428 0:201974 0:779183 0:788809 0:199275 0:794598 0:201242 0:784733 0
0:03782 0:040641 0:024952 0:020454 0:945823 0:958436 0:027718 0:963924 0:030519 0:949954 0
0:128755 0:132382 0:118645 0:125205 0:856176 0:866735 0:12031 0:873362 0:122092 0:862589 0
0:036232 0:039211 0:023853 0:02093 0:947334 0:959828 0:026378 0:965484 0:029016 0:951697 0
0:053868 0:056856 0:041913 0:039904 0:930011 0:942193 0:044284 0:947835 0:046805 0:934439 0
0:037355 0:040366 0:025318 0:022961 0:946232 0:958648 0:027684 0:964293 0:030234 0:950561 0
0:038496 0:041609 0:026766 0:025476 0:945078 0:957388 0:028986 0:963148 0:031431 0:949584 0
0:039039 0:042212 0:027546 0:026934 0:944528 0:956769 0:029654 0:962586 0:032024 0:949115 0
0:019706 0:02292 0:008112 0:007179 0:963512 0:976023 0:010216 0:981865 0:012617 0:96802 0
0:206598 0:210555 0:198753 0:205324 0:778776 0:788494 0:199925 0:794758 0:201089 0:784951 0
0:010637 0:015762 0:001639 0:010701 0:970849 0:982958 0:002795 0:990804 0:004009 0:978438 0
0:127728 0:132443 0:11997 0:128558 0:855769 0:866421 0:12096 0:873521 0:121939 0:862807 0
0:036708 0:0407 0:026592 0:025093 0:94548 0:958093 0:028492 0:964116 0:030372 0:95031 0
0:035163 0:039271 0:025335 0:024927 0:946959 0:9595 0:02709 0:965659 0:028866 0:951984 0
0:052799 0:056915 0:043395 0:043901 0:929636 0:941864 0:044996 0:948011 0:046655 0:934725 0
0:018764 0:022982 0:009121 0:009247 0:963041 0:975738 0:010743 0:981991 0:012458 0:968101 0
0:036242 0:040425 0:026956 0:027604 0:94589 0:958306 0:028457 0:964485 0:030087 0:950917 0
0:037969 0:042272 0:029028 0:030933 0:944153 0:956441 0:030366 0:962761 0:031873 0:949402 0
0:037342 0:041667 0:028563 0:030761 0:944768 0:957031 0:029821 0:963356 0:031287 0:950008 0
1 0:999752 0:999257 0:995312 0:000176 0:00025 0:999685 0 1 0 0
0:106519 0:112518 0:101414 0:116661 0:875548 0:885967 0:101297 0:894336 0:101298 0:884082 0
0:106038 0:112768 0:10184 0:120021 0:875307 0:885741 0:10149 0:894598 0:101076 0:884874 0
0:999429 1 1 1 0 0 1 0:000295 0:999781 0:000934 0
0:1263 0:132723 0:12213 0:136889 0:855323 0:865795 0:121931 0:873999 0:121627 0:863946 0
0:03528 0:04098 0:028751 0:033426 0:945035 0:957468 0:029463 0:964594 0:03006 0:951449 0
0:033734 0:039551 0:027494 0:03326 0:946514 0:958875 0:028061 0:966137 0:028554 0:953123 0
0:05137 0:057195 0:045554 0:052234 0:929191 0:941239 0:045967 0:948489 0:046343 0:935865 0
0:036626 0:042554 0:030873 0:037978 0:943643 0:955844 0:031214 0:963207 0:031556 0:950404 0
0:035998 0:041948 0:030407 0:037808 0:944258 0:956435 0:030669 0:963801 0:030969 0:95101 0
0:034771 0:040704 0:029273 0:036582 0:945477 0:957667 0:02949 0:964979 0:029778 0:952125 0
0:017208 0:023259 0:011753 0:019511 0:962692 0:97507 0:011899 0:982518 0:012155 0:969446 0
0:204099 0:210894 0:202394 0:217656 0:777955 0:787541 0:201608 0:795411 0:200626 0:786377 0
0:008139 0:016101 0:00528 0:023033 0:970029 0:982005 0:004478 0:991458 0:003546 0:979864 0
0:035726 0:042616 0:031725 0:039403 0:943139 0:955573 0:031679 0:963316 0:031394 0:950416 0
0:035098 0:042011 0:031259 0:039233 0:943754 0:956164 0:031135 0:963911 0:030807 0:951021 0
0:125145 0:132781 0:123925 0:142178 0:855013 0:86544 0:122766 0:874207 0:121482 0:86437 0
0:034124 0:041038 0:030547 0:038715 0:944724 0:957113 0:030297 0:964802 0:029915 0:951873 0
0:032579 0:039609 0:02929 0:038549 0:946204 0:95852 0:028896 0:966345 0:028409 0:953547 0
0:008231 0:015228 0:000187 0:039606 0:974154 0:983829 0 0:996177 0:000092 0:989356 1
0:00813 0:015234 0:000315 0:040079 0:97412 0:983789 0:000064 0:996183 0:000081 0:989376 1
0:008027 0:01524 0:000451 0:040521 0:974085 0:983752 0:00013 0:996195 0:000069 0:989399 1
0:007923 0:015246 0:000591 0:040952 0:97405 0:983717 0:000198 0:996208 0:000056 0:989424 1
0:007818 0:015252 0:000733 0:041368 0:974013 0:983682 0:000268 0:996222 0:000042 0:989451 1
0:007849 0:015317 0:000739 0:043138 0:973888 0:983654 0:000234 0:996471 0:000062 0:989856 1
0:007815 0:015315 0:000783 0:043561 0:973867 0:983691 0:000248 0:996476 0:000061 0:989891 1
0:007782 0:015316 0:000821 0:043966 0:973847 0:983723 0:000267 0:996484 0:000061 0:989929 1
0:007716 0:015311 0:000932 0:04424 0:97378 0:983699 0:000308 0:996503 0:00006 0:98987 1
0:00767 0:015309 0:000993 0:044549 0:973737 0:983695 0:000339 0:996523 0:000058 0:989873 1
0:007607 0:015307 0:001085 0:044781 0:973672 0:98366 0:000386 0:996551 0:000055 0:98983 1
0:007562 0:015305 0:001146 0:045085 0:973629 0:983654 0:000418 0:996572 0:000054 0:989833 1
0:007532 0:015304 0:001175 0:045466 0:97361 0:983677 0:000434 0:996586 0:000054 0:989882 1
0:007512 0:01532 0:001273 0:045816 0:973547 0:983612 0:000493 0:99662 0:000026 0:989826 1
0:007299 0:015215 0:001489 0:044227 0:973592 0:983602 0:000623 0:996433 0:000041 0:989479 1
0:007427 0:015316 0:00139 0:046412 0:973463 0:98359 0:000556 0:996663 0:000026 0:989832 1
0:007381 0:015314 0:001451 0:046713 0:973421 0:983583 0:000588 0:996685 0:000025 0:989836 1
0:007336 0:015312 0:001511 0:047017 0:973378 0:983575 0:00062 0:996706 0:000024 0:989839 1
0:007291 0:015311 0:001571 0:04732 0:973336 0:983567 0:000651 0:996727 0:000023 0:989842 1
0:007185 0:015317 0:001717 0:047734 0:973299 0:983533 0:000722 0:996742 0:000009 0:989868 1
0:007164 0:015287 0:001683 0:047796 0:973249 0:983576 0:000701 0:996764 0:000047 0:98986 1
0:00716 0:015305 0:001749 0:048222 0:97321 0:98354 0:000745 0:996791 0:000021 0:98985 1
0:007013 0:015292 0:001889 0:048511 0:973169 0:983534 0:000804 0:996801 0:000032 0:98989 1
0:007013 0:015308 0:001953 0:048933 0:973131 0:983494 0:000847 0:996828 0:000007 0:989879 1
0:006991 0:015279 0:001918 0:048998 0:973081 0:983537 0:000827 0:996849 0:000045 0:989871 1
0:006988 0:015297 0:001985 0:049423 0:973041 0:9835 0:000871 0:996877 0:00002 0:989862 1
0:006881 0:015303 0:002131 0:049832 0:973004 0:983466 0:000942 0:996893 0:000005 0:989889 1
0:006901 0:015293 0:002103 0:050021 0:972957 0:98348 0:000934 0:99692 0:000019 0:989868 1
0:006856 0:015291 0:002163 0:050322 0:972915 0:983472 0:000966 0:996941 0:000018 0:989871 1
0:006811 0:015289 0:002223 0:050624 0:972872 0:983463 0:000998 0:996962 0:000017 0:989874 1
0:006766 0:015287 0:002284 0:050925 0:97283 0:983454 0:001029 0:996984 0:000017 0:989877 1
0:006691 0:015299 0:002324 0:051636 0:972787 0:983468 0:001078 0:997026 0:000016 0:989868 1
0:006678 0:015284 0:002403 0:051526 0:972745 0:983436 0:001093 0:997027 0:000016 0:989883 1
0:006633 0:015282 0:002464 0:051827 0:972702 0:983427 0:001125 0:997048 0:000015 0:989886 1
0:006588 0:01528 0:002524 0:052127 0:972659 0:983418 0:001156 0:997069 0:000015 0:98989 1
0:006482 0:015286 0:002671 0:052534 0:972622 0:983384 0:001227 0:997086 0 0:989917 1
0:006502 0:015276 0:002642 0:052726 0:972575 0:983397 0:001219 0:997112 0:000014 0:989896 1
0:006457 0:015274 0:002702 0:053027 0:972532 0:983389 0:001251 0:997134 0:000013 0:989899 1
0:006413 0:015272 0:002762 0:053324 0:97249 0:983379 0:001283 0:997156 0:000013 0:989902 1
0:006369 0:015271 0:002822 0:053625 0:972448 0:98337 0:001315 0:997177 0:000012 0:989905 1
0:006324 0:015269 0:002882 0:053924 0:972405 0:983361 0:001346 0:997199 0:000012 0:989909 1
0:00628 0:015267 0:002941 0:054225 0:972363 0:983351 0:001378 0:99722 0:000011 0:989912 1
0:006236 0:015265 0:003002 0:054525 0:97232 0:983342 0:00141 0:997241 0:000011 0:989915 1
0:006192 0:015263 0:003061 0:054826 0:972278 0:983333 0:001442 0:997263 0:00001 0:989918 1
0:006147 0:015262 0:003121 0:055126 0:972235 0:983324 0:001473 0:997284 0:00001 0:989921 1
0:006103 0:01526 0:003181 0:055425 0:972192 0:983314 0:001505 0:997306 0:00001 0:989924 1
0:006058 0:015258 0:003241 0:055726 0:97215 0:983305 0:001537 0:997327 0:000009 0:989927 1
0:006014 0:015256 0:003301 0:056025 0:972107 0:983295 0:001569 0:997349 0:000009 0:98993 1
0:00597 0:015254 0:00336 0:056324 0:972065 0:983285 0:0016 0:99737 0:000008 0:989933 1
0:005926 0:015253 0:003421 0:056626 0:972022 0:983276 0:001632 0:997392 0:000008 0:989936 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
0:023145 0 0:017748 0:04053 1 1 0:005613 0:982856 0:013837 0:966118 1
