% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
@RELATION iris

@ATTRIBUTE time  NUMERIC
@ATTRIBUTE source   STRING
@ATTRIBUTE destination  STRING
@ATTRIBUTE protocol   {Ip,Arp,Tcp,Udp,Icmp}
@ATTRIBUTE length  NUMERIC
@ATTRIBUTE caplen  NUMERIC
@ATTRIBUTE hlen   NUMERIC
@ATTRIBUTE version   NUMERIC
@ATTRIBUTE output   NUMERIC

@DATA
1473941957174,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957175,"138","138",Udp,243,243,8,0,0
1473941957200,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957260,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957264,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957274,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957323,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957478,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957502,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957532,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941957535,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941957536,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941957553,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941957564,"41327","1900",Udp,309,309,8,0,0
1473941957586,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957626,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957632,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957653,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957654,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957665,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941957665,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941957714,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957730,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941957747,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957824,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957876,"137","137",Udp,92,92,8,0,0
1473941957876,"50717","5355",Udp,75,75,8,0,0
1473941957876,"58741","5355",Udp,75,75,8,0,0
1473941957964,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941957984,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958024,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958032,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941958032,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958044,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958054,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958087,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941958120,"137","137",Udp,92,92,8,0,0
1473941958174,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958174,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958194,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958204,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958254,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958264,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958296,"50717","5355",Udp,75,75,8,0,0
1473941958296,"58741","5355",Udp,75,75,8,0,0
1473941958297,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958297,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958361,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941958365,"61434","1900",Udp,140,140,8,0,0
1473941958381,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958415,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958452,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958477,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958536,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941958586,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958626,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958640,"137","137",Udp,92,92,8,0,0
1473941958648,"55310","80",Tcp,60,60,5,0,0
1473941958664,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941958665,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941958714,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958732,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958746,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941958915,"137","137",Udp,92,92,8,0,0
1473941958950,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941958984,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959024,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959040,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941959054,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959087,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941959172,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959178,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959194,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959199,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959254,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
