@relation FeatureTable

@attribute time numeric
@attribute source string
@attribute destination string
@attribute protocol {Udp,Arp,Tcp}
@attribute length numeric
@attribute caplen numeric
@attribute hlen numeric
@attribute version numeric
@attribute 'output ' numeric

@data
1474189459234,5353,5353,Udp,74,74,8,0,0
1474189459234,5353,5353,Udp,56,56,8,0,0
1474189459235,5353,5353,Udp,56,56,8,0,0
1474189459238,1900,1900,Udp,546,546,8,0,0
1474189459238,1900,1900,Udp,575,575,8,0,0
1474189459238,5353,5353,Udp,74,74,8,0,0
1474189459238,5353,5353,Udp,74,74,8,0,0
1474189459239,5353,5353,Udp,74,74,8,0,0
1474189459239,5353,5353,Udp,74,74,8,0,0
1474189459239,5353,5353,Udp,74,74,8,0,0
1474189459239,5353,5353,Udp,56,56,8,0,0
1474189459239,5353,5353,Udp,54,54,8,0,0
1474189459239,5353,5353,Udp,54,54,8,0,0
1474189459240,5353,5353,Udp,54,54,8,0,0
1474189459240,5353,5353,Udp,56,56,8,0,0
1474189459240,5353,5353,Udp,74,74,8,0,0
1474189459240,5353,5353,Udp,74,74,8,0,0
1474189459241,5353,5353,Udp,56,56,8,0,0
1474189459241,5353,5353,Udp,54,54,8,0,0
1474189459241,5353,5353,Udp,54,54,8,0,0
1474189459242,5353,5353,Udp,54,54,8,0,0
1474189459242,5353,5353,Udp,74,74,8,0,0
1474189459242,5353,5353,Udp,54,54,8,0,0
1474189459242,5353,5353,Udp,74,74,8,0,0
1474189459242,5353,5353,Udp,56,56,8,0,0
1474189459243,5353,5353,Udp,74,74,8,0,0
1474189459243,5353,5353,Udp,56,56,8,0,0
1474189459243,5353,5353,Udp,74,74,8,0,0
1474189459244,5353,5353,Udp,56,56,8,0,0
1474189459244,5353,5353,Udp,56,56,8,0,0
1474189459244,5353,5353,Udp,74,74,8,0,0
1474189459244,5353,5353,Udp,74,74,8,0,0
1474189459245,5353,5353,Udp,56,56,8,0,0
1474189459245,5353,5353,Udp,56,56,8,0,0
1474189459245,5353,5353,Udp,74,74,8,0,0
1474189459246,5353,5353,Udp,56,56,8,0,0
1474189459246,2008,2008,Udp,56,56,8,0,0
1474189459246,5353,5353,Udp,74,74,8,0,0
1474189459246,2007,2007,Udp,56,56,8,0,0
1474189459247,5353,5353,Udp,74,74,8,0,0
1474189459247,5353,5353,Udp,74,74,8,0,0
1474189459247,5353,5353,Udp,74,74,8,0,0
1474189459248,5353,5353,Udp,74,74,8,0,0
1474189459248,5353,5353,Udp,56,56,8,0,0
1474189459248,5353,5353,Udp,74,74,8,0,0
1474189459248,5353,5353,Udp,56,56,8,0,0
1474189459249,5353,5353,Udp,56,56,8,0,0
1474189459249,5353,5353,Udp,56,56,8,0,0
1474189459249,5353,5353,Udp,74,74,8,0,0
1474189459249,5353,5353,Udp,56,56,8,0,0
1474189459250,5353,5353,Udp,74,74,8,0,0
1474189459250,5353,5353,Udp,54,54,8,0,0
1474189459250,5353,5353,Udp,56,56,8,0,0
1474189459251,50431,1900,Udp,216,216,8,0,0
1474189459251,5353,5353,Udp,74,74,8,0,0
1474189459251,5353,5353,Udp,74,74,8,0,0
1474189459252,5353,5353,Udp,74,74,8,0,0
1474189459252,5353,5353,Udp,56,56,8,0,0
1474189459252,5353,5353,Udp,56,56,8,0,0
1474189459252,5353,5353,Udp,56,56,8,0,0
1474189459338,137,137,Udp,92,92,8,0,0
1474189459338,2008,2008,Udp,56,56,8,0,0
1474189459338,2007,2007,Udp,56,56,8,0,0
1474189459413,54388,1900,Udp,216,216,8,0,0
1474189459413,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189459413,0.0.0.0,0.0.0.0,Arp,42,42,6,0,0
1474189459439,2008,2008,Udp,56,56,8,0,0
1474189459440,2007,2007,Udp,56,56,8,0,0
1474189459542,1900,1900,Udp,482,482,8,0,0
1474189459542,1900,1900,Udp,511,511,8,0,0
1474189459542,2008,2008,Udp,56,56,8,0,0
1474189459542,2007,2007,Udp,56,56,8,0,0
1474189459646,54499,1900,Udp,216,216,8,0,0
1474189459646,58191,1900,Udp,216,216,8,0,0
1474189459646,2008,2008,Udp,56,56,8,0,0
1474189459647,2007,2007,Udp,56,56,8,0,0
1474189459748,0.0.0.0,0.0.0.0,Arp,60,60,6,0,0
1474189459748,0.0.0.0,0.0.0.0,Arp,42,42,6,0,0
1474189459748,2008,2008,Udp,56,56,8,0,0
1474189459850,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189459850,17500,17500,Udp,176,176,8,0,0
1474189459850,2008,2008,Udp,56,56,8,0,0
1474189459850,2007,2007,Udp,56,56,8,0,0
1474189460054,1900,1900,Udp,491,491,8,0,0
1474189460054,1900,1900,Udp,520,520,8,0,0
1474189460054,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189460054,2008,2008,Udp,56,56,8,0,0
1474189460054,2007,2007,Udp,56,56,8,0,0
1474189460054,58777,10505,Udp,139,139,8,0,0
1474189460156,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189460156,2008,2008,Udp,56,56,8,0,0
1474189460156,2007,2007,Udp,56,56,8,0,0
1474189460156,5353,5353,Udp,102,102,8,0,0
1474189460157,5353,5353,Udp,82,82,8,0,0
1474189460158,5353,5353,Udp,74,74,8,0,0
1474189460159,5353,5353,Udp,54,54,8,0,0
1474189460159,5353,5353,Udp,102,102,8,0,0
1474189460159,5353,5353,Udp,74,74,8,0,0
1474189460159,5353,5353,Udp,82,82,8,0,0
1474189460159,5353,5353,Udp,54,54,8,0,0
1474189460159,5353,5353,Udp,56,56,8,0,0
1474189460159,5353,5353,Udp,74,74,8,0,0
1474189460159,5353,5353,Udp,74,74,8,0,0
1474189460159,5353,5353,Udp,56,56,8,0,0
1474189460160,5353,5353,Udp,74,74,8,0,0
1474189460160,5353,5353,Udp,56,56,8,0,0
1474189460160,5353,5353,Udp,74,74,8,0,0
1474189460160,5353,5353,Udp,56,56,8,0,0
1474189460164,5353,5353,Udp,74,74,8,0,0
1474189460164,5353,5353,Udp,74,74,8,0,0
1474189460164,5353,5353,Udp,56,56,8,0,0
1474189460164,5353,5353,Udp,56,56,8,0,0
1474189460164,62698,1900,Udp,216,216,8,0,0
1474189460164,5353,5353,Udp,74,74,8,0,0
1474189460164,5353,5353,Udp,74,74,8,0,0
1474189460164,5353,5353,Udp,56,56,8,0,0
1474189460165,5353,5353,Udp,74,74,8,0,0
1474189460165,5353,5353,Udp,56,56,8,0,0
1474189460165,5353,5353,Udp,74,74,8,0,0
1474189460165,5353,5353,Udp,56,56,8,0,0
1474189460166,5353,5353,Udp,74,74,8,0,0
1474189460166,5353,5353,Udp,74,74,8,0,0
1474189460166,5353,5353,Udp,74,74,8,0,0
1474189460166,5353,5353,Udp,56,56,8,0,0
1474189460166,5353,5353,Udp,56,56,8,0,0
1474189460167,5353,5353,Udp,74,74,8,0,0
1474189460167,5353,5353,Udp,74,74,8,0,0
1474189460167,5353,5353,Udp,56,56,8,0,0
1474189460167,5353,5353,Udp,56,56,8,0,0
1474189460168,5353,5353,Udp,56,56,8,0,0
1474189460168,5353,5353,Udp,56,56,8,0,0
1474189460168,5353,5353,Udp,74,74,8,0,0
1474189460168,5353,5353,Udp,56,56,8,0,0
1474189460169,5353,5353,Udp,74,74,8,0,0
1474189460169,5353,5353,Udp,56,56,8,0,0
1474189460259,5353,5353,Udp,56,56,8,0,0
1474189460259,5353,5353,Udp,74,74,8,0,0
1474189460259,5353,5353,Udp,56,56,8,0,0
1474189460259,5353,5353,Udp,56,56,8,0,0
1474189460259,5353,5353,Udp,74,74,8,0,0
1474189460259,5353,5353,Udp,74,74,8,0,0
1474189460260,5353,5353,Udp,56,56,8,0,0
1474189460260,2008,2008,Udp,56,56,8,0,0
1474189460260,2007,2007,Udp,56,56,8,0,0
1474189460261,5353,5353,Udp,74,74,8,0,0
1474189460261,5353,5353,Udp,54,54,8,0,0
1474189460261,5353,5353,Udp,54,54,8,0,0
1474189460261,5353,5353,Udp,54,54,8,0,0
1474189460262,5353,5353,Udp,74,74,8,0,0
1474189460262,5353,5353,Udp,74,74,8,0,0
1474189460262,5353,5353,Udp,74,74,8,0,0
